title,description
The Emperor's New Groove,"Adventure, Animation, Comedy, Family, Fantasy. central and south america, birthday, emperor, palace, kingdom, berater, llama. Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership."
The Butler,"Drama. white house, butler, biography, civil rights. A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made."
The Girl with the Dragon Tattoo,"Thriller, Crime, Mystery, Drama. rape, journalist, based on novel, journalism, hacker, nazis, punk, investigation, remake, antisocial personality disorder, serial killer, disappearance, hacking, computer hacker, bible quote, scandinavian, abuse. This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined."
Les Misérables,"Drama, Music, Romance. france, robbery, brothel, mayor, star, musical, arrest, army, rebellion, wedding, falling in love, corpse, parole, convict, girl disguised as boy. An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption."
Close Encounters of the Third Kind,"Science Fiction, Drama. indiana, obsession, extraterrestrial technology, evacuation, blackout, flying saucer, secret base, light, contact, beguilement, exchange, ufo, alien, vision, missing person, mother ship, escapade, obsessive quest, life turned upside down. After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen."
Who Framed Roger Rabbit,"Fantasy, Animation, Comedy, Crime, Family. falsely accused, film business, hiding place, suspicion of murder, mental breakdown, innocence, cartoon, cartoon sex, love sickness, private detective, movie star, live action and animation. 'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect."
Goldfinger,"Adventure, Action, Thriller. secret organization, secret intelligence service, nuclear radiation, fort knox, aston martin, secret lab, kentucky, gas attack, airplane, british secret service, duringcreditsstinger. Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy."
The Judge,"Drama. father son relationship, judge, lawyer. A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder."
Get Out,"Mystery, Thriller, Horror. externally controlled action, parents-in-law, satire, dark comedy, interracial relationship, disappearance, racism, african american, stereotype, police harassment, missing, race-conscious. Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined."
End of Watch,"Crime, Drama, Thriller. los angeles, bullet proof vest, u.s. marine, medal of valor, police sergeant, felon, golden gun. Two young officers are marked for death after confiscating a small cache of money and firearms from the members of a notorious cartel during a routine traffic stop."
The Fugitive,"Adventure, Action, Thriller, Crime, Mystery. chicago, showdown, undercover, surgeon, death sentence, doomed man, lethal injection, chase, remake, betrayal, on the run, train crash, escape, fugitive, based on tv series, u.s. marshal, doctor, explosion, home invasion, disguise, one armed man, framed for murder, flashback, corrupt cop, manhunt, bus accident, storm drain. Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late."
Life of Pi,"Adventure, Drama, Action. ocean, shipwreck, hindu, tiger, faith, zookeeper, teenage boy, cargo ship, lifeboat, injured animal. The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean."
First Blood,"Action, Adventure, Thriller, War. prison, vietnam veteran, falsely accused, police brutality, sheriff, guerrilla, submachine gun, gun, destroy, self-defense, vietnam, vietnam war, prosecution, dying and death, police operation, attempt to escape, matter of life and death, survivor, tramp, national guard, weapon, firearm, police, escape, rural setting. When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail."
Contact,"Drama, Science Fiction, Mystery. based on novel, nasa, new mexico, extraterrestrial technology, prime number, star, radio wave, wormhole, fanatic, spirituality, religion, scientist, sabotage, ham radio, alien contact, mechanical engineering, observatory, eccentric man, radio telescope. Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality."
